time,P,G(i),H_sun,T2m,WS10m,Int
20160113:0409,0.0,0.0,0.0,6.11,2.0,0.0
20160113:0509,14.13,78.92,4.73,6.14,1.93,0.0
20160113:0609,92.66,381.28,15.46,8.35,1.45,0.0
20160113:0709,142.55,590.96,24.81,12.17,0.9,0.0
20160113:0809,182.53,785.7,32.08,15.17,0.62,0.0
20160113:0909,201.9,885.9,36.4,16.4,0.69,0.0
20160113:1009,201.93,889.97,37.03,17.36,0.76,0.0
20160113:1109,188.7,833.43,33.86,18.07,0.41,0.0
20160113:1209,158.12,681.9,27.46,18.42,0.69,0.0
20160113:1309,116.74,491.25,18.71,18.23,1.79,0.0
20160113:1409,34.16,157.25,8.37,17.15,2.41,0.0
20160113:1509,0.0,0.0,0.0,15.02,2.62,0.0
20160113:1609,0.0,0.0,0.0,13.23,2.14,0.0
20160113:1709,0.0,0.0,0.0,11.8,1.24,0.0
20160113:1809,0.0,0.0,0.0,11.62,0.48,0.0
20160113:1909,0.0,0.0,0.0,11.23,0.48,0.0
20160113:2009,0.0,0.0,0.0,11.02,0.55,0.0
20160113:2109,0.0,0.0,0.0,10.88,0.83,0.0
20160113:2209,0.0,0.0,0.0,9.92,1.03,0.0
20160113:2309,0.0,0.0,0.0,9.19,1.24,0.0
20160114:0009,0.0,0.0,0.0,8.91,1.31,0.0
20160114:0109,0.0,0.0,0.0,8.85,1.31,0.0
20160114:0209,0.0,0.0,0.0,8.86,1.24,0.0
20160114:0309,0.0,0.0,0.0,8.51,1.17,0.0
20160114:0409,0.0,0.0,0.0,8.48,1.17,0.0
20160114:0509,5.15,35.0,4.77,8.32,1.31,0.0
20160114:0609,37.95,165.84,15.52,9.6,1.1,0.0
20160114:0709,110.12,451.75,24.9,13.02,1.93,0.0
20160114:0809,183.31,759.59,32.2,14.94,3.1,0.0
20160114:0909,210.78,880.08,36.55,15.84,3.86,0.0
20160114:1009,215.25,899.53,37.21,16.41,4.28,0.0
20160114:1109,206.63,858.11,34.05,16.73,4.69,0.0
20160114:1209,65.68,276.98,27.65,16.68,4.97,0.0
20160114:1309,90.83,373.77,18.89,16.18,5.17,0.0
20160114:1409,14.16,73.7,8.54,15.28,4.76,0.0
20160114:1509,0.0,0.0,0.0,14.22,4.0,0.0
20160114:1609,0.0,0.0,0.0,13.21,2.9,0.0
20160114:1709,0.0,0.0,0.0,12.39,2.34,0.0
20160114:1809,0.0,0.0,0.0,11.68,2.28,0.0
20160114:1909,0.0,0.0,0.0,11.65,2.55,0.0
20160114:2009,0.0,0.0,0.0,11.03,1.93,0.0
20160114:2109,0.0,0.0,0.0,10.36,1.45,0.0
20160114:2209,0.0,0.0,0.0,10.05,1.31,0.0
20160114:2309,0.0,0.0,0.0,9.61,1.38,0.0
20160115:0009,0.0,0.0,0.0,9.58,1.24,0.0
20160115:0109,0.0,0.0,0.0,9.65,1.1,0.0
20160115:0209,0.0,0.0,0.0,9.6,1.03,0.0
20160115:0309,0.0,0.0,0.0,9.69,0.97,0.0
20160115:0409,0.0,0.0,0.0,10.04,0.76,0.0
20160115:0509,6.08,39.89,4.81,9.82,0.62,0.0
20160115:0609,40.86,178.63,15.58,10.69,0.28,0.0
20160115:0709,81.58,340.05,24.99,12.84,0.62,0.0
20160115:0809,190.31,805.96,32.32,14.39,1.45,0.0
20160115:0909,182.65,770.5,36.71,15.29,1.93,0.0
20160115:1009,101.61,424.05,37.4,15.61,1.86,0.0
20160115:1109,166.18,699.64,34.25,15.95,1.79,0.0
20160115:1209,143.75,600.25,27.85,16.14,1.79,0.0
20160115:1309,117.4,487.94,19.08,15.99,1.93,0.0
20160115:1409,31.05,143.44,8.72,15.63,2.21,0.0
20160115:1509,0.0,0.0,0.0,14.53,2.14,0.0
20160115:1609,0.0,0.0,0.0,13.15,2.28,0.0
20160115:1709,0.0,0.0,0.0,11.97,2.21,0.0
20160115:1809,0.0,0.0,0.0,10.97,2.0,0.0
20160115:1909,0.0,0.0,0.0,10.14,1.72,0.0
20160115:2009,0.0,0.0,0.0,9.42,1.72,0.0
20160115:2109,0.0,0.0,0.0,8.97,1.79,0.0
20160115:2209,0.0,0.0,0.0,8.55,1.86,0.0
20160115:2309,0.0,0.0,0.0,8.06,2.07,0.0
20160116:0009,0.0,0.0,0.0,7.72,2.14,0.0
20160116:0109,0.0,0.0,0.0,7.45,2.28,0.0
20160116:0209,0.0,0.0,0.0,7.2,2.34,0.0
20160116:0309,0.0,0.0,0.0,7.11,2.41,0.0
20160116:0409,0.0,0.0,0.0,6.94,2.48,0.0
20160116:0509,14.54,81.11,4.85,6.79,2.55,0.0
20160116:0609,91.27,374.29,15.65,8.42,2.14,0.0
20160116:0709,142.51,583.54,25.09,12.53,2.14,0.0
20160116:0809,186.3,777.16,32.46,14.79,2.55,0.0
20160116:0909,210.27,892.73,36.88,16.13,2.62,0.0
20160116:1009,209.9,898.61,37.59,17.21,2.48,0.0
20160116:1109,197.26,843.65,34.45,17.99,2.34,0.0
20160116:1209,162.24,685.59,28.05,18.51,2.28,0.0
20160116:1309,114.6,482.24,19.27,18.66,2.0,0.0
20160116:1409,30.77,144.12,8.9,18.25,1.31,0.0
20160116:1509,0.0,0.0,0.0,16.69,1.52,0.0
20160116:1609,0.0,0.0,0.0,14.48,2.0,0.0
20160116:1709,0.0,0.0,0.0,12.71,2.07,0.0
20160116:1809,0.0,0.0,0.0,11.31,2.0,0.0
20160116:1909,0.0,0.0,0.0,10.44,2.14,0.0
20160116:2009,0.0,0.0,0.0,9.72,2.28,0.0
20160116:2109,0.0,0.0,0.0,9.31,2.41,0.0
20160116:2209,0.0,0.0,0.0,8.97,2.48,0.0
20160116:2309,0.0,0.0,0.0,8.75,2.62,0.0
20160117:0009,0.0,0.0,0.0,8.69,2.76,0.0
20160117:0109,0.0,0.0,0.0,8.74,2.83,0.0
20160117:0209,0.0,0.0,0.0,8.64,2.76,0.0
20160117:0309,0.0,0.0,0.0,8.82,2.62,0.0
20160117:0409,0.0,0.0,0.0,8.98,2.62,0.0
20160117:0509,2.52,20.97,4.9,8.98,2.62,0.0
20160117:0609,67.89,282.93,15.73,10.09,2.41,0.0
20160117:0709,140.34,580.66,25.19,14.58,2.07,0.0
20160117:0809,181.93,773.52,32.6,18.09,2.28,0.0
20160117:0909,206.02,888.71,37.06,19.43,2.62,0.0
20160117:1009,208.07,902.46,37.79,20.32,2.69,0.0
20160117:1109,195.83,847.58,34.66,20.86,2.55,0.0
20160117:1209,162.93,696.58,28.26,21.17,2.48,0.0
20160117:1309,115.75,491.47,19.47,21.26,2.48,0.0
20160117:1409,31.14,146.92,9.08,20.59,1.66,0.0
20160117:1509,0.0,0.0,0.0,18.15,1.45,0.0
20160117:1609,0.0,0.0,0.0,15.4,2.0,0.0
20160117:1709,0.0,0.0,0.0,13.41,2.41,0.0
20160117:1809,0.0,0.0,0.0,12.0,2.34,0.0
20160117:1909,0.0,0.0,0.0,12.0,2.69,0.0
20160117:2009,0.0,0.0,0.0,12.11,3.31,0.0
20160117:2109,0.0,0.0,0.0,11.99,3.66,0.0
20160117:2209,0.0,0.0,0.0,11.81,3.79,0.0
20160117:2309,0.0,0.0,0.0,11.55,3.93,0.0
20160118:0009,0.0,0.0,0.0,11.64,4.48,0.0
20160118:0109,0.0,0.0,0.0,11.6,4.76,0.0
20160118:0209,0.0,0.0,0.0,11.23,4.76,0.0
20160118:0309,0.0,0.0,0.0,10.6,4.76,0.0
20160118:0409,0.0,0.0,0.0,9.94,4.9,0.0
20160118:0509,8.71,53.09,4.96,9.33,5.31,0.0
20160118:0609,56.69,236.76,15.81,9.69,5.31,0.0
20160118:0709,26.2,119.17,25.31,10.32,7.45,0.0
20160118:0809,90.2,362.33,32.75,11.05,7.52,0.0
20160118:0909,164.08,651.68,37.24,11.77,7.38,0.0
20160118:1009,194.25,776.24,38.0,12.53,7.52,0.0
20160118:1109,208.82,837.27,34.88,13.13,7.59,0.0
20160118:1209,183.07,730.64,28.47,13.5,7.66,0.0
20160118:1309,128.74,514.53,19.66,13.49,7.52,0.0
20160118:1409,29.8,135.84,9.27,12.99,6.9,0.0
20160118:1509,0.0,0.0,0.0,11.69,5.52,0.0
20160118:1609,0.0,0.0,0.0,10.51,5.24,0.0
20160118:1709,0.0,0.0,0.0,9.73,5.31,0.0
20160118:1809,0.0,0.0,0.0,9.2,5.52,0.0
20160118:1909,0.0,0.0,0.0,8.97,5.72,0.0
20160118:2009,0.0,0.0,0.0,8.84,6.0,0.0
20160118:2109,0.0,0.0,0.0,8.83,6.28,0.0
20160118:2209,0.0,0.0,0.0,8.71,6.41,0.0
20160118:2309,0.0,0.0,0.0,8.38,6.48,0.0
20160119:0009,0.0,0.0,0.0,7.99,6.34,0.0
20160119:0109,0.0,0.0,0.0,7.77,6.07,0.0
20160119:0209,0.0,0.0,0.0,7.42,5.93,0.0
20160119:0309,0.0,0.0,0.0,7.12,5.79,0.0
20160119:0409,0.0,0.0,0.0,6.87,5.59,0.0
20160119:0509,11.92,68.22,5.02,6.67,5.45,0.0
20160119:0609,59.99,247.44,15.9,7.61,4.97,0.0
20160119:0709,88.56,353.79,25.42,9.55,6.55,0.0
20160119:0809,160.13,631.46,32.9,10.81,7.52,0.0
20160119:0909,146.99,583.91,37.43,11.8,7.38,0.0
20160119:1009,127.41,509.24,38.21,12.49,7.24,0.0
20160119:1109,89.72,364.64,35.1,13.4,7.31,0.0
20160119:1209,40.19,175.23,28.68,13.72,7.38,0.0
20160119:1309,33.71,149.74,19.87,13.49,6.97,0.0
20160119:1409,10.06,55.66,9.46,13.17,6.0,0.0
